nome,cpf,uf,turma,data_nascimento,email,endereco,período,modulo
Thiago Gonçalves,546.720.931-07,Rio de Janeiro,1,1993-07-06,calebemonteiro@farias.org,"Campo da Conceição, 6",vespertino,banco de dados
Ana Beatriz Alves,126.439.085-89,Espírito Santo,3,2000-10-08,caio99@bol.com.br,"Largo Rodrigues, 57",noturno,scrum
Miguel Ribeiro,608.391.527-95,Pernambuco,2,1998-08-18,nda-cruz@ferreira.br,"Pátio de Caldeira, 20",vespertino,scrum
Mariana Rocha,754.368.190-01,Rio Grande do Norte,2,1994-09-11,ramosana-clara@bol.com.br,Trevo Luiz Otávio Pires,vespertino,aprofundamento ao python
Marcelo Moreira,059.678.213-68,Pará,3,1992-01-29,icostela@bol.com.br,"Lago Felipe Pereira, 93",noturno,carreiras
Lucas Nogueira,138.265.470-71,Espírito Santo,1,1994-04-19,stellaramos@ig.com.br,"Viaduto de Oliveira, 8",vespertino,aprofundamento ao python
Leandro Peixoto,910.724.368-50,Mato Grosso,3,2004-12-03,lucas14@fernandes.br,"Recanto Carlos Eduardo Castro, 87",vespertino,introdução ao python
Ana Sophia da Luz,172.869.405-11,Ceará,2,1997-11-23,helenadas-neves@yahoo.com.br,"Sítio de Ferreira, 23",noturno,scrum
Ian Peixoto,913.748.506-75,Paraíba,1,1997-04-25,da-costaluiza@bol.com.br,"Via Fernandes, 744",matutino,introdução ao python
Kevin Fernandes,396.502.847-29,Rio de Janeiro,2,1994-04-10,elisagomes@bol.com.br,"Viela Nina Mendes, 2",noturno,aprofundamento ao python
Daniel Duarte,326.857.049-65,São Paulo,3,2000-10-20,vianasarah@das.br,Via de Moraes,vespertino,github
Kaique das Neves,153.487.062-80,Alagoas,1,1996-12-21,vcorreia@yahoo.com.br,"Aeroporto de Castro, 84",matutino,carreiras
Luiz Felipe Cunha,408.356.792-92,Santa Catarina,2,1997-04-29,emanuella18@campos.br,"Área de Costela, 33",matutino,banco de dados
Eduarda Gonçalves,237.608.541-17,Rio Grande do Sul,2,1996-03-01,ferreiraenzo@yahoo.com.br,"Pátio Vinicius Lopes, 114",noturno,aprofundamento ao python
Samuel das Neves,791.428.503-04,Pará,3,1999-05-06,marianada-conceicao@ferreira.org,"Conjunto de da Mota, 67",vespertino,github
Maitê Santos,526.748.910-76,Sergipe,3,1992-09-15,aragaovinicius@cunha.net,"Passarela Freitas, 67",noturno,introdução ao python
Arthur Melo,812.370.694-40,Santa Catarina,2,1994-10-11,juliabarbosa@yahoo.com.br,"Favela Sarah Lopes, 15",matutino,banco de dados
Stephany Melo,653.079.184-10,Pernambuco,1,1994-02-06,raquelmoura@lopes.br,"Travessa de Jesus, 18",matutino,github
Davi Cardoso,913.584.762-09,Distrito Federal,2,1994-03-16,cviana@novaes.net,"Estação de Rocha, 30",vespertino,github
Anthony da Cruz,453.162.098-42,Goiás,3,2002-08-17,alvesclarice@uol.com.br,"Setor Farias, 30",matutino,scrum
Leandro Aragão,329.765.184-91,Rio Grande do Sul,1,1996-07-18,brenda25@jesus.br,"Via Almeida, 67",noturno,aprofundamento ao python
Marcelo Gomes,129.743.058-14,Espírito Santo,2,2005-08-12,vieiramaria-vitoria@castro.br,"Chácara Moreira, 222",vespertino,carreiras
Murilo Cavalcanti,537.892.164-37,Ceará,1,1998-01-17,luiz-henriquemelo@gmail.com,"Distrito Novaes, 86",vespertino,git
Pietra Freitas,136.789.425-55,Sergipe,3,2004-10-29,da-cruzmirella@campos.br,"Campo Isaac da Rosa, 326",vespertino,banco de dados
Augusto Jesus,520.613.897-59,Bahia,2,1993-11-15,julia64@ig.com.br,"Rua de Duarte, 20",vespertino,github
Antônio Melo,506.174.832-80,Minas Gerais,3,1995-02-07,ana-julia09@goncalves.br,"Campo de das Neves, 33",vespertino,github
Gustavo Henrique da Cruz,412.753.690-06,Ceará,3,2001-10-29,olivia22@bol.com.br,"Condomínio de da Cunha, 85",noturno,scrum
Lorenzo Cardoso,725.384.910-88,Amazonas,2,1996-01-30,lorena46@melo.br,"Distrito de da Conceição, 12",noturno,aprofundamento ao python
Diego Lima,310.942.657-99,Mato Grosso,1,1991-09-16,lara54@bol.com.br,"Travessa Novaes, 26",noturno,git
Marina Gonçalves,760.431.829-04,Amazonas,3,1990-12-02,amandaoliveira@melo.com,Fazenda Heitor Pereira,vespertino,carreiras
Valentina Viana,359.810.264-05,Goiás,3,1993-05-17,srodrigues@nunes.br,"Jardim de da Rocha, 69",noturno,scrum
Maria Vitória Cardoso,364.857.219-91,Amapá,2,2000-11-17,helena39@pires.org,"Morro Alana da Costa, 42",matutino,introdução ao python
Henrique Caldeira,572.134.698-19,Roraima,3,1996-01-14,mnascimento@santos.com,"Área Maria da Costa, 82",matutino,carreiras
Diego das Neves,409.328.671-03,Maranhão,2,1995-10-08,pedro88@vieira.com,"Viela Teixeira, 35",vespertino,scrum
Melissa Sales,435.802.961-24,Paraíba,1,1999-12-02,emanuelly68@souza.com,"Setor Fernandes, 72",noturno,scrum
Agatha Vieira,049.826.153-06,Mato Grosso do Sul,2,1993-02-24,nogueiraolivia@freitas.net,"Campo Bruno Barbosa, 58",noturno,introdução ao python
Kevin Cunha,064.791.582-02,Alagoas,1,2003-03-12,maysa08@ig.com.br,"Loteamento Gabrielly Cardoso, 7",vespertino,scrum
Carolina da Mota,250.763.149-06,Piauí,3,2005-07-06,acardoso@pinto.com,"Campo de Cardoso, 72",matutino,introdução ao python
Alana Moreira,073.916.524-07,Amazonas,1,1995-11-09,dferreira@pinto.br,"Campo da Conceição, 937",matutino,scrum
Murilo Barros,402.658.719-30,Goiás,2,1992-03-02,eduardoporto@bol.com.br,"Favela Lucca Azevedo, 6",vespertino,git
Elisa Correia,614.075.892-02,Alagoas,2,2000-04-22,maria-juliamelo@bol.com.br,"Recanto Breno Nascimento, 3",vespertino,git
Breno Rezende,713.850.924-32,Acre,1,1995-02-21,luana59@gmail.com,Quadra de Lima,noturno,banco de dados
Ian Duarte,270.914.856-02,Tocantins,1,1990-11-12,rezendeelisa@goncalves.br,"Fazenda de Campos, 28",matutino,scrum
Arthur Lima,462.530.187-44,Amapá,3,2003-02-09,salesvitor-hugo@sales.com,"Viela João Pedro Vieira, 7",matutino,scrum
Thales Cavalcanti,673.592.804-00,Alagoas,2,2003-01-06,arthurda-luz@bol.com.br,"Trecho de Costa, 94",noturno,github
Pedro Miguel Oliveira,631.802.495-60,Rondônia,2,1997-06-11,ferreiraandre@bol.com.br,"Favela de Pires, 525",matutino,banco de dados
Vitória Barros,170.862.934-31,Distrito Federal,2,1992-11-13,bernardoda-cruz@cardoso.br,"Parque de Silveira, 943",vespertino,github
Mariana Sales,495.316.082-70,Rio Grande do Norte,2,2000-04-04,uda-conceicao@monteiro.br,"Jardim de Jesus, 77",vespertino,scrum
Diego Silva,183.524.690-70,Goiás,3,1997-08-20,isales@bol.com.br,"Esplanada Aragão, 89",vespertino,carreiras
Stella da Costa,075.429.631-80,Distrito Federal,3,2005-08-04,fmonteiro@dias.com,Residencial de Duarte,noturno,introdução ao python
Bianca Moura,839.157.240-41,Acre,2,2002-09-22,pedro-henriqueoliveira@bol.com.br,"Vereda Melo, 36",noturno,github
Enzo Gabriel Araújo,154.390.768-75,Maranhão,3,1999-06-04,xpereira@moraes.br,"Distrito de Correia, 742",vespertino,github
Vitor Hugo das Neves,419.872.603-50,Rio Grande do Sul,2,1996-03-11,frodrigues@yahoo.com.br,"Residencial da Costa, 41",vespertino,introdução ao python
Esther Nunes,197.564.803-00,Santa Catarina,3,2005-05-12,milena41@ig.com.br,"Quadra de Mendes, 27",vespertino,github
Davi Farias,528.073.961-86,Pernambuco,1,1992-06-21,maria-fernandagomes@goncalves.br,Núcleo de Moura,noturno,git
Maria Clara Freitas,275.649.801-76,Mato Grosso,1,2004-12-31,da-motanicole@fernandes.br,"Esplanada de Cardoso, 68",vespertino,scrum
Sarah Silva,970.824.163-69,Mato Grosso do Sul,3,2002-11-17,da-costavitor@almeida.com,"Morro de da Conceição, 92",matutino,carreiras
Bernardo Silveira,324.106.758-08,Roraima,3,1996-11-16,marina07@uol.com.br,"Aeroporto Erick Martins, 78",vespertino,aprofundamento ao python
João Felipe Martins,361.879.024-40,Mato Grosso,2,2002-04-26,salesandre@yahoo.com.br,"Praia Luiz Miguel Peixoto, 33",vespertino,github
Enzo Gabriel Ramos,109.483.526-98,Paraná,2,2001-05-21,da-rosaagatha@nascimento.com,"Condomínio Maysa Souza, 99",noturno,github
Eloah Aragão,546.398.027-65,Rio de Janeiro,2,1993-07-09,cpinto@fernandes.br,"Jardim Martins, 23",vespertino,banco de dados
Maysa Azevedo,284.397.056-38,Mato Grosso do Sul,1,2005-04-14,guilherme96@ig.com.br,"Setor Duarte, 3",vespertino,git
Paulo da Cunha,512.480.793-88,Goiás,2,2003-07-22,da-rochadaniel@goncalves.br,"Viaduto Rodrigues, 700",noturno,introdução ao python
Bruna Porto,879.402.316-69,Ceará,1,2000-01-03,arthur41@moraes.br,"Praça Cavalcanti, 5",vespertino,scrum
Emanuel Dias,491.328.670-69,Amapá,2,1999-04-01,aliciamartins@freitas.com,"Viaduto Milena da Costa, 85",vespertino,aprofundamento ao python
Luna Lopes,830.195.476-01,Rondônia,2,2003-10-24,pietra55@hotmail.com,"Trecho de Melo, 75",noturno,git
Diego Teixeira,983.206.751-03,Amazonas,1,1992-08-12,brenomoreira@teixeira.br,"Setor Maitê Novaes, 2",vespertino,git
Levi Castro,760.219.548-58,Amazonas,2,2005-08-10,juliada-cunha@hotmail.com,"Favela Sophia da Conceição, 87",matutino,banco de dados
Murilo Oliveira,960.521.487-30,Piauí,2,2003-12-18,emanuelnovaes@nunes.br,"Esplanada de Cavalcanti, 57",noturno,github
Maria Julia Caldeira,715.602.943-61,Acre,2,1999-02-19,heloisa82@caldeira.br,"Quadra Joana Farias, 83",matutino,banco de dados
Ana Luiza Cardoso,098.463.721-40,Mato Grosso do Sul,3,1998-11-09,cardosoraquel@bol.com.br,Núcleo Clara Nascimento,vespertino,banco de dados
Bernardo Silveira,872.403.615-35,Santa Catarina,3,2003-09-23,stephany67@da.br,Loteamento Raul Teixeira,noturno,git
Sophie Castro,931.428.057-88,Acre,3,1999-06-13,otavioteixeira@gmail.com,"Quadra de Cardoso, 90",vespertino,carreiras
Davi Lucca Ribeiro,457.289.103-60,Goiás,3,2001-04-10,guilhermeda-rosa@nascimento.net,"Loteamento Cardoso, 57",vespertino,github
Yuri Rodrigues,354.187.602-62,Mato Grosso do Sul,2,2001-09-17,castrobarbara@yahoo.com.br,"Condomínio Freitas, 51",vespertino,aprofundamento ao python
Fernanda Monteiro,729.318.064-04,Mato Grosso do Sul,2,1991-03-25,ffreitas@hotmail.com,"Feira de da Rosa, 72",vespertino,introdução ao python
Alícia Fogaça,249.715.630-16,Tocantins,1,1995-09-15,rcosta@da.net,Esplanada Lívia Campos,matutino,aprofundamento ao python
Maria Vitória da Mota,946.235.801-05,Mato Grosso do Sul,1,1993-07-02,sophie19@ribeiro.br,Estação Emanuel Souza,noturno,banco de dados
Lucca Melo,736.248.519-00,Amazonas,1,1992-12-24,jramos@ig.com.br,"Esplanada Cavalcanti, 4",vespertino,aprofundamento ao python
Isabella Nogueira,674.921.580-76,Paraíba,1,1991-04-03,limakamilly@bol.com.br,"Avenida Cavalcanti, 68",noturno,introdução ao python
Alexia Pires,359.126.084-33,Mato Grosso do Sul,1,2003-04-07,barrosrebeca@da.org,"Campo Nicolas Peixoto, 158",noturno,aprofundamento ao python
Stella da Cruz,810.723.659-95,Bahia,1,1999-09-15,renan62@almeida.net,"Avenida Luiz Fernando Aragão, 84",matutino,aprofundamento ao python
Brenda Viana,642.035.819-15,Amazonas,1,1995-10-15,dcunha@hotmail.com,"Estação Eduarda da Mata, 13",vespertino,github
Maria Luiza Souza,723.891.654-19,Acre,1,1994-09-01,juanfogaca@bol.com.br,"Lago Bárbara Monteiro, 40",matutino,scrum
Rebeca Cavalcanti,304.821.956-06,Acre,2,2001-04-27,freitaskevin@hotmail.com,Rua Silveira,noturno,github
Eduardo Oliveira,342.617.508-80,Mato Grosso do Sul,1,2000-05-28,jda-paz@cavalcanti.br,"Setor Pires, 2",vespertino,git
Gustavo Cardoso,931.287.405-50,Rio Grande do Norte,1,1997-08-08,ana86@almeida.com,"Estrada Ryan Peixoto, 292",vespertino,banco de dados
Yuri da Luz,360.172.549-52,São Paulo,1,1993-07-06,cunhaluana@bol.com.br,"Esplanada Leonardo Melo, 317",vespertino,scrum
Murilo Castro,643.918.507-10,Rio de Janeiro,2,1992-09-24,marcelaferreira@ig.com.br,"Estação Rezende, 7",matutino,scrum
Caio Ferreira,058.423.719-79,Santa Catarina,3,2001-02-06,maysacosta@lopes.br,Passarela de Campos,matutino,github
Paulo Santos,481.632.970-69,Pará,1,1997-07-04,mourathales@gomes.net,Via Caldeira,vespertino,github
Rafael Melo,681.970.243-40,Bahia,2,1993-09-08,maria-sophiamoura@ramos.com,"Conjunto Maria Julia Rocha, 6",vespertino,git
Sarah Barros,975.208.163-03,Espírito Santo,3,1991-07-08,anthony11@mendes.com,"Setor de Almeida, 891",noturno,carreiras
Juan Aragão,302.986.541-05,Rio de Janeiro,1,1998-09-22,melissa71@carvalho.com,Passarela de Campos,matutino,git
João Pedro Santos,371.092.658-03,Roraima,3,1991-10-26,eduardanovaes@lopes.com,"Colônia Mendes, 170",vespertino,banco de dados
Lara das Neves,759.680.324-56,Rio Grande do Norte,2,1991-04-28,danielrezende@cavalcanti.net,"Colônia Benício Silveira, 3",vespertino,github
Lucas Moraes,476.329.518-73,São Paulo,3,1996-07-23,caueribeiro@hotmail.com,"Conjunto de Silveira, 293",vespertino,banco de dados
Thales Mendes,312.678.094-69,Pará,1,1997-12-13,lorena62@nogueira.br,"Largo Olivia Carvalho, 4",noturno,carreiras
Ana Beatriz Cunha,185.927.043-32,Alagoas,2,1993-04-23,antoniocunha@bol.com.br,"Esplanada de Caldeira, 39",vespertino,introdução ao python
Rodrigo Carvalho,031.856.472-62,Ceará,2,2004-11-13,eloah41@araujo.com,"Lagoa Pinto, 390",vespertino,banco de dados
Ana Laura Barbosa,529.018.763-40,São Paulo,3,1995-04-18,tcardoso@ig.com.br,"Lago Manuela da Luz, 27",vespertino,banco de dados
Eduarda Jesus,240.716.835-62,Bahia,2,2000-11-01,da-cruzclarice@da.com,"Estrada da Cunha, 8",matutino,introdução ao python
Cauã Melo,254.086.379-56,Rio Grande do Sul,1,1994-08-30,erickgoncalves@costa.br,"Vereda Azevedo, 11",noturno,introdução ao python
Enzo Gabriel Souza,627.451.098-20,Espírito Santo,2,1995-12-26,kaiqueda-rosa@da.net,"Viaduto Castro, 55",vespertino,github
Ana Beatriz Carvalho,021.835.469-05,Bahia,3,1996-03-26,joana53@castro.com,"Lagoa da Conceição, 32",noturno,carreiras
Anthony Moraes,364.857.291-19,Amapá,2,1996-09-27,lcunha@ig.com.br,"Ladeira Nunes, 11",vespertino,carreiras
Alexia Moura,129.653.480-42,Mato Grosso,1,1995-06-17,enogueira@hotmail.com,"Estrada Carolina Souza, 63",noturno,scrum
Ana Sophia Barros,478.392.051-60,Santa Catarina,3,2004-01-30,santospaulo@bol.com.br,Quadra de da Mata,vespertino,github
Pietro Jesus,123.498.765-19,Ceará,1,1992-07-08,qlopes@hotmail.com,"Aeroporto de Campos, 14",vespertino,scrum
Luiz Felipe Oliveira,123.745.986-91,Paraíba,1,1999-02-25,freitasleticia@azevedo.com,"Avenida de Pinto, 9",vespertino,banco de dados
Ana Luiza Moraes,517.380.249-97,Amapá,2,1997-09-25,biancada-luz@campos.net,"Sítio João Guilherme Silveira, 89",matutino,carreiras
Bianca Gonçalves,739.184.560-48,Mato Grosso do Sul,2,1991-02-04,bfreitas@uol.com.br,"Praia Yago Santos, 6",vespertino,banco de dados
Júlia Moraes,573.482.910-23,Amapá,1,2002-06-30,doliveira@hotmail.com,"Colônia de Araújo, 7",noturno,carreiras
Manuela Santos,842.315.079-88,Piauí,3,2003-11-10,lorenada-mata@gomes.com,Ladeira Cardoso,noturno,github
Erick Nogueira,176.583.042-71,Distrito Federal,3,2002-02-05,thales07@caldeira.com,"Vereda Alves, 11",matutino,aprofundamento ao python
Fernanda Teixeira,605.942.731-61,Rio de Janeiro,1,1991-11-29,melocalebe@martins.net,"Favela Bárbara Nogueira, 24",noturno,introdução ao python
Amanda Moreira,973.204.856-56,Piauí,2,2004-04-17,nascimentoalexia@hotmail.com,"Praia da Conceição, 10",matutino,scrum
Maria Moraes,875.623.041-90,Paraná,3,1995-08-16,wpinto@hotmail.com,"Estrada Nascimento, 33",matutino,git
Raquel Costa,856.742.903-00,Rio de Janeiro,1,2003-08-31,rrezende@ig.com.br,"Largo Ribeiro, 75",matutino,github
Emilly Nascimento,951.842.367-91,Amazonas,3,2003-10-11,da-rochacaua@hotmail.com,"Alameda Kaique Gomes, 71",matutino,introdução ao python
Caio Nogueira,197.830.562-12,Amazonas,2,1991-04-01,raquelrocha@gmail.com,"Rua Caio Lopes, 93",vespertino,banco de dados
Danilo Carvalho,091.247.368-13,Paraná,2,1998-07-08,yasminsantos@uol.com.br,"Colônia Lorenzo Lima, 13",vespertino,git
Ana Carolina Alves,421.695.378-64,Amazonas,3,1998-05-02,cteixeira@uol.com.br,"Rodovia Pinto, 20",matutino,aprofundamento ao python
Carolina Moraes,523.186.497-82,Rio de Janeiro,2,2003-09-16,ugomes@moraes.org,Área Santos,matutino,scrum
Gustavo Lima,841.352.076-26,Minas Gerais,3,1998-01-30,bruno92@uol.com.br,"Estação Fogaça, 11",vespertino,introdução ao python
Lucas Moura,065.179.382-30,Rondônia,2,2005-09-27,da-conceicaoamanda@santos.br,Lagoa Carvalho,noturno,introdução ao python
Thales Jesus,563.197.804-01,Rio Grande do Norte,3,1999-09-30,brenoramos@ig.com.br,"Fazenda de Sales, 5",noturno,carreiras
Fernando Ferreira,548.309.617-75,Sergipe,3,1997-12-26,sophie42@rocha.br,"Distrito Davi Lucas Santos, 98",matutino,github
Luiz Fernando Caldeira,713.048.256-71,Acre,3,1999-08-14,ramosalana@correia.org,"Quadra Sophie Pinto, 38",vespertino,github
Maria Clara Pinto,571.624.380-08,Rondônia,3,2005-03-11,wdas-neves@ig.com.br,"Rua Renan Ferreira, 66",vespertino,banco de dados
Arthur Souza,813.279.054-50,Alagoas,3,1999-09-19,isadoraviana@silveira.com,"Colônia de da Mata, 89",matutino,scrum
Maria Eduarda Moreira,486.175.390-20,Tocantins,2,1996-05-16,diasemanuelly@gomes.br,"Viela Ribeiro, 76",noturno,banco de dados
Isabella Cunha,975.260.834-56,São Paulo,2,1992-01-24,lavinia46@da.net,Parque Silva,vespertino,banco de dados
Gustavo Henrique Silva,120.659.783-68,Roraima,2,1999-06-02,vicente94@fernandes.br,Residencial Martins,vespertino,git
Noah Viana,263.054.978-00,Tocantins,2,1999-08-28,benjaminlima@souza.br,"Área Eloah da Cunha, 51",matutino,carreiras
